price,area,road_width,width,floors,parking_slots,bedrooms,type_Nhà trong ngõ,district_Quận Bắc Từ Liêm,district_Quận Cầu Giấy,district_Quận Hai Bà Trưng,district_Quận Hoàn Kiếm,district_Quận Hoàng Mai,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Nam Từ Liêm,district_Quận Thanh Xuân,district_Quận Tây Hồ,district_Quận Đống Đa
8.0,30.0,5.0,4.0,6.0,2,4,0,0,0,0,0,0,0,0,0,0,1,0
11.2,47.0,4.0,4.0,6.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
10.8,70.0,4.0,4.6,5.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
5.4,46.0,5.0,4.3,3.0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
5.9,40.0,4.0,4.0,6.0,1,4,0,0,0,0,0,0,0,0,0,0,1,0
14.0,51.0,15.0,4.5,6.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
8.9,52.0,5.0,4.3,4.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
8.2,53.0,5.0,5.6,3.0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
6.3,55.0,5.0,5.0,3.0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
8.0,68.0,10.0,5.0,1.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
7.8,43.0,8.0,4.0,5.0,2,4,0,1,0,0,0,0,0,0,0,0,0,0
7.8,43.0,8.0,4.0,3.0,2,3,0,1,0,0,0,0,0,0,0,0,0,0
10.7,48.0,10.0,4.0,5.0,2,4,0,1,0,0,0,0,0,0,0,0,0,0
9.8,91.0,10.0,4.7,2.0,2,3,0,0,0,0,0,0,0,0,0,0,1,0
10.6,51.0,8.0,4.0,5.0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
73.0,124.0,40.0,6.9,7.0,3,10,0,0,0,0,0,0,0,0,0,1,0,0
83.0,420.0,40.0,16.0,1.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0
20.7,85.0,8.0,5.0,6.0,2,4,0,0,0,0,0,0,1,0,0,0,0,0
7.9,40.0,4.0,3.6,6.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
7.9,40.0,4.0,3.6,6.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
12.5,80.0,6.0,5.0,2.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
8.0,36.0,5.0,4.0,5.0,2,3,0,0,1,0,0,0,0,0,0,0,0,0
8.0,30.0,5.0,4.0,6.0,2,4,0,0,0,0,0,0,0,0,0,0,1,0
30.0,100.0,40.0,16.0,9.0,4,9,0,0,0,0,0,0,0,0,1,0,0,0
22.0,78.0,25.0,13.0,8.0,3,6,0,0,0,0,0,0,0,0,0,0,0,1
23.0,61.0,15.0,6.1,8.0,2,7,0,0,1,0,0,0,0,0,0,0,0,0
63.0,115.0,35.0,6.8,7.0,4,8,0,0,0,1,0,0,0,0,0,0,0,0
29.5,60.0,35.0,8.0,8.0,4,8,0,0,0,0,0,0,0,0,0,0,0,1
